"dpmeanW","wpmeanW","wrmeanW","dpmeanB","wpmeanB","wrmeanB","dpsd","wpsd","wrsd","iteration"
21.441661696747,1.42056373936272,5.87417567761298,22.1085029324985,5.30082373127395,6.95541395054266,4.20069482507041,3.43747045966434,2.73809425777282,1
18.8841686674923,3.31475283287355,5.87794663096314,24.0539495660215,3.9510068754709,7.27280207910139,4.96010832838775,3.2641490931684,2.52359789774491,2
20.4586351205505,0.930006662029933,5.54765309095281,19.9405707965879,4.71871872524591,10.0101373231805,4.20034742083523,4.4613719273956,3.54591867512205,3
19.9653979737283,2.45345725511824,4.8475930566551,21.1776013809293,7.81424132295162,8.09757533534332,5.62836938880203,3.82493435158574,4.77766255015309,4
19.8178211599025,1.33691839756245,6.24676734672658,20.7220952996859,5.54264118382088,9.00495804022854,4.71802494450279,3.83658646694705,2.24908492010665,5
18.5898365716628,2.08059652623934,6.50928863005886,20.626335638187,5.26293606730756,6.70786938913294,5.25067228581781,3.70837665105068,2.22798472037006,6
19.5799182351499,1.31079241795592,6.11555592773167,20.2421672311442,6.65612402058884,6.45109778479232,5.47813198847418,4.25615173530047,2.41115530642314,7
19.3087053522189,2.01840643291592,5.95716738474723,18.8829607495384,4.48862231551886,7.97364797538279,5.37053452620677,3.4943683989416,2.9395779853806,8
19.5960815149059,1.68816750397386,5.62736197378234,18.7289818432517,6.90666629831935,9.74085746612332,4.16560475476889,3.4676578215739,3.19588197564951,9
18.9971962178734,1.92694682248284,4.82099671273835,18.1871127151913,1.0494936058435,8.71216901508961,5.14196002352458,4.16690582361495,3.53350441592843,10
19.9704119782236,2.19727103500979,5.72206500265435,20.0973965939391,6.35479518154835,7.44946229412817,4.30458997951749,3.49688502900846,2.24687080494135,11
19.7133436884583,3.54801701368163,6.49574658184484,20.4998831047054,2.98326317071504,8.10084183947622,4.45881086684788,2.59210121633811,2.58490344921752,12
